delta_a,delta_b,similarity,hamming_similarity,mod_similarity,factor_similarity,bitlength_similarity,popcount_similarity,x_hamming_similarity,y_hamming_similarity,carry_chain_similarity,second_difference_similarity,cf_prefix_similarity
2,19,0.3464951282666925,0.94921875,0.12,0.25,0.058823529411764705,0.07142857142857142,0.47265625,0.53125,0.125,6.777133950052522e-06,0.0
2,20,0.32800171994793625,0.94921875,0.0,0.16666666666666666,0.05555555555555555,0.07142857142857142,0.51953125,0.52734375,0.16666666666666666,1.213140740501108e-05,0.0
2,21,0.34341751718438224,0.9453125,0.04,0.3333333333333333,0.05263157894736842,0.07692307692307693,0.51953125,0.4921875,0.09090909090909091,2.1496746825647052e-06,0.0
2,22,0.3844333621860761,0.95703125,0.24,0.3333333333333333,0.05,0.1,0.4921875,0.51171875,0.16666666666666666,4.808790468977291e-07,0.08333333333333333
2,23,0.3853142663841894,0.9453125,0.2,0.5,0.045454545454545456,0.07692307692307693,0.51953125,0.515625,0.0625,3.0220735272503895e-07,0.0
2,24,0.37658145519312136,0.94921875,0.16,0.3333333333333333,0.043478260869565216,0.08333333333333333,0.4921875,0.5078125,0.25,1.1553926024062976e-06,0.08333333333333333
2,25,0.3351980575282272,0.94921875,0.04,0.25,0.043478260869565216,0.08333333333333333,0.50390625,0.53125,0.08333333333333333,8.319992225799264e-08,0.0
2,26,0.3581128818767673,0.9609375,0.08,0.25,0.041666666666666664,0.09090909090909091,0.5078125,0.4921875,0.25,5.1481475557933924e-08,0.08333333333333333
2,27,0.34182500313643394,0.9375,0.0,0.2,0.04,0.06666666666666667,0.53125,0.53125,0.25,5.227389801003551e-08,0.08333333333333333
2,28,0.35751754846875666,0.95703125,0.12,0.3333333333333333,0.038461538461538464,0.08333333333333333,0.453125,0.5,0.2,6.530559588151914e-09,0.0
2,29,0.3301245539835417,0.94921875,0.04,0.2,0.03571428571428571,0.07142857142857142,0.515625,0.4921875,0.14285714285714285,6.868552079480815e-09,0.0
2,30,0.34135402016063554,0.91796875,0.08,0.3333333333333333,0.03571428571428571,0.05,0.53125,0.453125,0.125,3.839154575164018e-08,0.0
2,31,0.32604316265294564,0.9296875,0.08,0.16666666666666666,0.03571428571428571,0.05263157894736842,0.51171875,0.55078125,0.0625,9.826783822041977e-10,0.0
2,32,0.34322604172764914,0.94921875,0.08,0.25,0.03333333333333333,0.08333333333333333,0.4921875,0.484375,0.2,1.0163740753428014e-09,0.0
2,33,0.32707171676705593,0.9453125,0.0,0.25,0.03225806451612903,0.06666666666666667,0.5234375,0.4609375,0.14285714285714285,2.9532366494187474e-09,0.0
2,34,0.3261449881210545,0.9453125,0.04,0.2,0.03225806451612903,0.07692307692307693,0.48828125,0.47265625,0.16666666666666666,1.8410444037772858e-10,0.0
2,35,0.3694185176393842,0.921875,0.16,0.5,0.030303030303030304,0.047619047619047616,0.515625,0.4921875,0.058823529411764705,8.429596414537501e-11,0.0
2,36,0.3305237823580366,0.9296875,0.04,0.2,0.029411764705882353,0.05263157894736842,0.5234375,0.48828125,0.14285714285714285,2.692076369571208e-10,0.08333333333333333
2,37,0.34653547794256073,0.9375,0.08,0.3333333333333333,0.029411764705882353,0.058823529411764705,0.53515625,0.46484375,0.125,2.307098560828297e-11,0.0
2,38,0.3182569026737077,0.921875,0.04,0.16666666666666666,0.027777777777777776,0.05263157894736842,0.5078125,0.546875,0.07142857142857142,5.962163968323958e-12,0.0
2,39,0.3486177631586936,0.91015625,0.08,0.3333333333333333,0.02631578947368421,0.041666666666666664,0.55859375,0.51953125,0.125,1.3314063338202556e-11,0.0
2,40,0.3117451453556227,0.9375,0.0,0.2,0.02702702702702703,0.058823529411764705,0.4453125,0.484375,0.14285714285714285,3.0533681265004403e-12,0.0
2,41,0.41755024821675407,0.9296875,0.04,1.0,0.02564102564102564,0.05263157894736842,0.49609375,0.484375,0.14285714285714285,9.748760950860047e-13,0.0
2,42,0.3534262195122469,0.9375,0.04,0.3333333333333333,0.024390243902439025,0.06666666666666667,0.48046875,0.5546875,0.25,8.619416027760504e-13,0.0
2,43,0.3380182868199404,0.90234375,0.16,0.3333333333333333,0.024390243902439025,0.038461538461538464,0.4375,0.484375,0.1,8.815104816817224e-13,0.0
2,44,0.3186208217849291,0.92578125,0.04,0.2,0.024390243902439025,0.05,0.5078125,0.4921875,0.09090909090909091,1.1185471323887116e-13,0.0
2,45,0.31392400678295057,0.90625,0.08,0.16666666666666666,0.023255813953488372,0.04,0.51171875,0.47265625,0.08333333333333333,8.142044699775272e-14,0.0
