expression,stability,predictive,uniqueness,score
"add(popcount,v_5)",0.6356447814579185,0.9690744601464819,0.4492753623188406,0.7410612400624821
"add(popcount,v_43)",0.6355591498125682,0.9691252485395065,0.4492753623188406,0.7410430211792844
"add(popcount,v_17)",0.6365044423277271,0.9680245429303581,0.4492753623188406,0.7410281205674465
"add(popcount,v_47)",0.6363109174024218,0.9682312114524531,0.4492753623188406,0.7410237017598971
"add(popcount,v_41)",0.6356871736595612,0.9688868897509172,0.4492753623188406,0.7410052883949956
"sub(popcount,v_41)",0.6356871736595612,0.9688868897509172,0.4492753623188406,0.7410052883949956
id(popcount),0.6356871736595612,0.9688868897509172,0.4492753623188406,0.7410052883949956
abs(popcount),0.6356871736595612,0.9688868897509172,0.4492753623188406,0.7410052883949956
"ratio(popcount,v_41)",0.6356871736595612,0.9688868897509164,0.4492753623188406,0.7410052883949951
"add(popcount,v_3)",0.6423568933532403,0.9612147580631083,0.4492753623188406,0.7409378095820276
"sub(popcount,v_31)",0.6353930774112408,0.9689968419338754,0.4492753623188406,0.7409169259564345
"add(popcount,v_7)",0.635821724813328,0.9684882869608745,0.4492753623188406,0.7409063952981736
"sub(popcount,v_43)",0.6357837595219192,0.9685152823522554,0.4492753623188406,0.7409001090735918
"sub(popcount,v_17)",0.6348071866025514,0.969486034078235,0.4492753623188406,0.7408489519502681
"sub(popcount,v_23)",0.6355882760569533,0.9684386266476455,0.4492753623188406,0.7407814792325134
"sub(popcount,entropy)",0.634704842652153,0.9687814112340619,0.4492753623188406,0.7405210480349198
"ratio(entropy,v_23)",0.6771219000401788,0.9153062710140061,0.463768115942029,0.7403925808149874
"add(popcount,v_11)",0.6360792533888968,0.9691155616603341,0.43478260869565216,0.739099279993485
"add(popcount,v_13)",0.6366386537097579,0.9683589753738904,0.43478260869565216,0.739048375623295
"sub(popcount,v_19)",0.6354581202747053,0.9692022748874385,0.43478260869565216,0.7388544553829405
"sub(popcount,v_11)",0.6352631028039111,0.9685255411744305,0.43478260869565216,0.73849600403588
"add(popcount,v_19)",0.6357669408743055,0.9679563011749623,0.43478260869565216,0.7384950351677703
"sub(popcount,v_5)",0.6353780710309155,0.9672237093793822,0.43478260869565216,0.7380270070200127
sq(bit_length),0.5289892000012589,0.9672998953104422,0.7536231884057971,0.738008576385613
"sub(state,popcount)",0.6243917556987577,0.9680656917624199,0.463768115942029,0.7377677841607133
"ratio(popcount,v_17)",0.623843660935137,0.962301735991693,0.4782608695652174,0.7373894722522715
"sub(bit_length,popcount)",0.6220784304418231,0.9692753553155297,0.463768115942029,0.7372106532163367
"ratio(popcount,v_31)",0.6279616710366944,0.9569215170352533,0.463768115942029,0.7349165761719183
"ratio(popcount,v_37)",0.6235443733774719,0.9503601465019851,0.4927536231884058,0.7346520700989173
"ratio(popcount,v_11)",0.6293054559922164,0.9578981362646927,0.4492753623188406,0.7337380140502006
"sub(popcount,v_3)",0.6253266472253874,0.9630826808106607,0.43478260869565216,0.7318474548800364
"add(carry_count,v_47)",0.6253613202863392,0.9249837561557448,0.5362318840579711,0.7318408791998462
"ratio(entropy,v_43)",0.6774463669269832,0.8928448452794076,0.463768115942029,0.7315540206202099
"add(carry_count,v_2)",0.6302400808197313,0.9229778168328003,0.5217391304347826,0.7310600326672166
"sub(popcount,v_2)",0.6244089821686374,0.9500783611606316,0.463768115942029,0.730580603831444
"add(carry_count,v_53)",0.6248970331806686,0.9263358041329628,0.5217391304347826,0.7299988561497034
"sub(carry_count,v_13)",0.6240459712265498,0.927083909039872,0.5217391304347826,0.7299151202331136
"add(carry_count,v_29)",0.6246957670154629,0.9255392064624174,0.5217391304347826,0.7295896473071426
"mul(popcount,carry_count)",0.5190502273103018,0.9125341514801381,0.8695652173913043,0.7290210454903868
"add(carry_count,v_11)",0.6252111409240714,0.9261275331101883,0.5072463768115942,0.7278829831816466
"sub(carry_count,v_29)",0.6249741712541655,0.9263888677923613,0.5072463768115942,0.7278808807030582
"add(carry_count,v_17)",0.6257340873185082,0.9255057739064125,0.5072463768115942,0.7278696053776329
"add(carry_count,v_31)",0.6251533779280333,0.9259669134291308,0.5072463768115942,0.7277927419610065
"add(carry_count,v_23)",0.6248937522998342,0.9262277890725175,0.5072463768115942,0.7277802606856715
"sub(carry_count,v_43)",0.6250335015632822,0.9260231364981272,0.5072463768115942,0.7277612868244671
"sub(carry_count,v_47)",0.6242785520943602,0.9268324627645632,0.5072463768115942,0.7277452900700265
"ratio(carry_count,v_41)",0.6248621681432226,0.9260715540732656,0.5072463768115942,0.7277035538154956
"add(carry_count,v_41)",0.6248621681432225,0.9260715540732654,0.5072463768115942,0.7277035538154955
id(carry_count),0.6248621681432225,0.9260715540732654,0.5072463768115942,0.7277035538154955
abs(carry_count),0.6248621681432225,0.9260715540732654,0.5072463768115942,0.7277035538154955
"sub(carry_count,v_41)",0.6248621681432225,0.9260715540732654,0.5072463768115942,0.7277035538154955
"add(carry_count,v_43)",0.6246633957284011,0.9260099889941816,0.5072463768115942,0.7275894801971924
"sub(carry_count,v_23)",0.6248021644689061,0.9258030535210697,0.5072463768115942,0.7275691519411748
"sub(carry_count,v_31)",0.6245423869912874,0.9260640301248918,0.5072463768115942,0.7275566427177752
"sub(carry_count,v_53)",0.624771494099481,0.9255865826029531,0.5072463768115942,0.7274687619076868
"sub(carry_count,v_11)",0.6244847270297164,0.9259039109957384,0.5072463768115942,0.7274666480834069
"sub(carry_count,v_17)",0.6239350839518915,0.9264185409248448,0.5072463768115942,0.7274251606700283
"add(carry_count,v_3)",0.6323592324155084,0.9223203714592361,0.4927536231884058,0.7274028466489342
"mul(state,carry_chain)",0.5507562838678596,0.8593953987993812,0.8985507246376812,0.7263810959559415
"ratio(carry_count,v_17)",0.6156118637245699,0.9222668540051653,0.5362318840579711,0.7263668628868182
"add(carry_count,v_37)",0.6263160278694643,0.926119321081374,0.4927536231884058,0.7262029844520694
"add(carry_count,carry_chain)",0.6466526220153415,0.8811836235646763,0.5507246376811594,0.7260758249849482
"mul(bit_length,carry_chain)",0.549823264982316,0.8578564633040537,0.8985507246376812,0.7253456632593159
"add(carry_count,v_13)",0.6255666168648255,0.9246296547929471,0.4927536231884058,0.7252698829846113
"sub(carry_count,v_7)",0.6245119307866139,0.9256093656740491,0.4927536231884058,0.7251871586018568
"sub(carry_count,v_19)",0.6244211511969634,0.9255267042592167,0.4927536231884058,0.7251132432205811
"mul(entropy,borrow_count)",0.5325140512833934,0.84951139023529,0.9710144927536232,0.7250880530846866
"sub(carry_count,v_37)",0.6233291478790662,0.9257128793334034,0.4927536231884058,0.7246963117572021
"ratio(popcount,v_23)",0.6268990725957468,0.932274479913651,0.463768115942029,0.7245795920248509
"add(carry_count,v_5)",0.6242155380961967,0.9238519849317959,0.4927536231884058,0.7243508295942678
"sub(carry_count,v_5)",0.6252223326970061,0.9271578255833726,0.4782608695652174,0.7239523103817844
"ratio(entropy,v_47)",0.6613559512849293,0.8803872310187836,0.4927536231884058,0.7236781139639925
"add(carry_count,v_19)",0.6251682005757144,0.9260919221904632,0.4782608695652174,0.7235015895700395
"ratio(carry_count,v_11)",0.6184955278133374,0.9169418141459507,0.5217391304347826,0.7233605827395995
"add(carry_count,v_7)",0.6249354205066711,0.9254523641720133,0.4782608695652174,0.7231410153315899
"ratio(carry_count,v_31)",0.6178391465481265,0.9160889774183498,0.5217391304347826,0.7227240764792143
"ratio(bit_length,v_19)",0.6004683841408595,0.8296077565976194,0.7971014492753623,0.7216190928937388
"ratio(carry_count,v_37)",0.6121446299153537,0.9132970758210852,0.5362318840579711,0.7212186963990389
"add(carry_chain,borrow_count)",0.651512351126356,0.8599114081133103,0.5507246376811594,0.7197538169043582
"mul(bit_length,borrow_count)",0.5134807098610238,0.8677816077548882,0.9420289855072463,0.719483310365503
"ratio(entropy,v_29)",0.6674142886981357,0.867275973315589,0.4782608695652174,0.7189859496751793
"sub(carry_count,v_2)",0.6149896703250468,0.9135039532010827,0.5072463768115942,0.7182338894484434
"ratio(entropy,v_53)",0.6669334872093831,0.865695312757469,0.4782608695652174,0.7181373247819927
"mul(entropy,carry_chain)",0.5738025047080074,0.7988171245741592,0.927536231884058,0.7168684117308758
"sub(bit_length,carry_count)",0.6111022277564538,0.9252089643867025,0.4782608695652174,0.7168187186798679
"ratio(popcount,v_43)",0.6269885838594706,0.9127355717220201,0.463768115942029,0.7168043088168743
"sub(state,carry_count)",0.613053723710413,0.9223341583417043,0.463768115942029,0.714373056397672
"mul(state,borrow_count)",0.5133316435976474,0.8658896677248631,0.9130434782608695,0.714311628448017
"ratio(popcount,v_47)",0.6150121997663569,0.9078237749217299,0.4927536231884058,0.7137980433418134
"sub(carry_count,v_3)",0.6140380195007148,0.9185020540416765,0.463768115942029,0.7132831477832967
"ratio(carry_count,v_23)",0.6162836586488265,0.892227504579413,0.5217391304347826,0.7124795177889546
sq(entropy),0.5792497581299181,0.9588257812170747,0.4492753623188406,0.711584007993119
"ratio(entropy,v_13)",0.6548469700851365,0.8560719008885734,0.4927536231884058,0.7110229403720016
sqrt(borrow_count),0.7149060275328117,0.774559885439952,0.5217391304347826,0.7097925361309636
"ratio(popcount,v_29)",0.6192726675510274,0.8978742353796358,0.4782608695652174,0.7095615249845993
"ratio(popcount,v_53)",0.6183323060059005,0.8954507536543002,0.4782608695652174,0.708168969599158
"ratio(carry_count,v_43)",0.6168460423217499,0.8728043786825356,0.5217391304347826,0.7049633400830191
"ratio(popcount,v_13)",0.6104616312861679,0.8890836659818484,0.4927536231884058,0.7042542439497759
"ratio(carry_count,v_47)",0.6054370712134047,0.871344739733971,0.5507246376811594,0.7035932735917945
"mul(popcount,borrow_count)",0.5085456232617281,0.8418055058305262,0.9130434782608695,0.7025242545391186
log1p(borrow_count),0.7510923395997472,0.7155869715862239,0.5217391304347826,0.7024872110195932
"mul(popcount,carry_chain)",0.5462761929456127,0.8239746023519651,0.8405797101449275,0.7015010842880509
