Single-span KeyHunt BSGS — one MITM per zero anchor
avg_digit_span_decimal=19342813113834066795298816 = 2^84
jobs=319

file                                        P   tz      m     k_hint range
p145_114_SE_pivot198.0_raw_ceil+f.bat    P145 2^88  2^44   137438953472  11c63061b50a1390000000000000000000000:11c63061b50a139ffffffffffffffffffffff
p145_115_SE_pivot198.0_raw_ceil+f.bat    P145 2^88  2^44   137438953472  10d271e07f0b3790000000000000000000000:10d271e07f0b379ffffffffffffffffffffff
p145_116_SE_pivot198.0_minus8.bat        P145 2^80  2^40   8589934592  1001355c640fb086700000000000000000000:1001355c640fb0867ffffffffffffffffffff
p145_117_SE_pivot198.0_minus8+for.bat    P145 2^80  2^40   8589934592  10015cbcd3ccf79df00000000000000000000:10015cbcd3ccf79dfffffffffffffffffffff
p145_118_SE_pivot198.0_minus8+for.bat    P145 2^82  2^41   17179869184  1001126e286caf34c00000000000000000000:1001126e286caf34fffffffffffffffffffff
p145_119_SE_pivot198.0_minus8+for.bat    P145 2^79  2^40   8589934592  10007f27b393b3d6580000000000000000000:10007f27b393b3d65ffffffffffffffffffff
p145_120_SE_pivot198.0_minus8_flo.bat    P145 2^132 2^66   576460752303423488  1001000000000000000000000000000000000:1001fffffffffffffffffffffffffffffffff
p145_121_SE_pivot198.0_minus8_flo.bat    P145 2^80  2^40   8589934592  10012095afcfa3abb00000000000000000000:10012095afcfa3abbffffffffffffffffffff
p145_122_SE_pivot198.0_minus8_flo.bat    P145 2^79  2^40   8589934592  1000e31830da8509c80000000000000000000:1000e31830da8509cffffffffffffffffffff
p145_123_SE_pivot198.0_minus8_flo.bat    P145 2^79  2^40   8589934592  10006938f03f859bc80000000000000000000:10006938f03f859bcffffffffffffffffffff
p145_124_SE_pivot198.0_minus8_cei.bat    P145 2^133 2^67   1152921504606846976  1002000000000000000000000000000000000:1003fffffffffffffffffffffffffffffffff
p145_125_SE_pivot198.0_minus8_cei.bat    P145 2^81  2^41   17179869184  1002412b5f9f4757600000000000000000000:1002412b5f9f47577ffffffffffffffffffff
p145_126_SE_pivot198.0_minus8_cei.bat    P145 2^80  2^40   8589934592  1001c63061b50a13900000000000000000000:1001c63061b50a139ffffffffffffffffffff
p145_127_SE_pivot198.0_minus8_cei.bat    P145 2^80  2^40   8589934592  1000d271e07f0b37900000000000000000000:1000d271e07f0b379ffffffffffffffffffff
p150_128_SE_pivot198.95_raw.bat          P150 2^91  2^46   549755813888  2077c3ec4cc054a80000000000000000000000:2077c3ec4cc054afffffffffffffffffffffff
p150_129_SE_pivot198.95_raw+form5.bat    P150 2^91  2^46   549755813888  208702711ef391c80000000000000000000000:208702711ef391cfffffffffffffffffffffff
p150_130_SE_pivot198.95_raw+form5.bat    P150 2^90  2^45   274877906944  206a3e0bc12d20140000000000000000000000:206a3e0bc12d2017ffffffffffffffffffffff
p150_131_SE_pivot198.95_raw+form5.bat    P150 2^89  2^45   274877906944  203139ff2c90ed920000000000000000000000:203139ff2c90ed93ffffffffffffffffffffff
p150_132_SE_pivot198.95_raw_floor.bat    P150 2^142 2^71   18446744073709551616  20400000000000000000000000000000000000:207fffffffffffffffffffffffffffffffffff
p150_133_SE_pivot198.95_raw_floor.bat    P150 2^90  2^45   274877906944  2048256bf3e8eaec0000000000000000000000:2048256bf3e8eaefffffffffffffffffffffff
p150_134_SE_pivot198.95_raw_floor.bat    P150 2^89  2^45   274877906944  2038c60c36a142720000000000000000000000:2038c60c36a14273ffffffffffffffffffffff
p150_135_SE_pivot198.95_raw_floor.bat    P150 2^89  2^45   274877906944  201a4e3c0fe166f20000000000000000000000:201a4e3c0fe166f3ffffffffffffffffffffff
p150_136_SE_pivot198.95_raw_ceil.bat     P150 2^143 2^72   36893488147419103232  20800000000000000000000000000000000000:20ffffffffffffffffffffffffffffffffffff
p150_137_SE_pivot198.95_raw_ceil+.bat    P150 2^91  2^46   549755813888  20904ad7e7d1d5d80000000000000000000000:20904ad7e7d1d5dfffffffffffffffffffffff
p150_138_SE_pivot198.95_raw_ceil+.bat    P150 2^90  2^45   274877906944  20718c186d4284e40000000000000000000000:20718c186d4284e7ffffffffffffffffffffff
p150_139_SE_pivot198.95_raw_ceil+.bat    P150 2^90  2^45   274877906944  20349c781fc2cde40000000000000000000000:20349c781fc2cde7ffffffffffffffffffffff
p150_140_SE_pivot198.95_minus8.bat       P150 2^83  2^42   34359738368  200077c3ec4cc054a800000000000000000000:200077c3ec4cc054afffffffffffffffffffff
p150_141_SE_pivot198.95_minus8+fo.bat    P150 2^83  2^42   34359738368  20008702711ef391c800000000000000000000:20008702711ef391cfffffffffffffffffffff
